company_id,sector,region,founded_year,founder_count,founder_prior_exits,founder_technical_pct,initial_funding_stage,initial_capital,failed,acquired,fail_month,months_observed,outcome
SU-10000,SaaS,US-Other,2020,3,2,0.528,Seed,1969327.84,False,False,-1,42,Active
SU-10001,DeepTech,SEA,2019,2,0,0.307,Seed,2301024.77,True,False,17,18,Failed
SU-10002,AI/ML,India,2022,2,0,0.675,Seed,2226888.7,False,False,-1,42,Active
SU-10003,AI/ML,Europe,2015,3,1,0.374,Seed,1619319.69,True,False,15,16,Failed
SU-10004,HealthTech,US-WestCoast,2020,2,1,0.671,Seed,1362287.57,False,False,-1,42,Active
SU-10005,HealthTech,India,2015,5,1,0.719,Seed,959805.03,False,False,-1,42,Active
SU-10006,SaaS,US-WestCoast,2016,2,0,0.31,Series A,6345636.82,False,False,-1,42,Active
SU-10007,E-commerce,US-WestCoast,2014,3,0,0.469,Seed,1458726.41,True,False,24,25,Failed
SU-10008,Marketplace,US-WestCoast,2017,1,1,0.646,Series A,10356061.4,False,False,-1,42,Active
SU-10009,DeepTech,US-EastCoast,2018,1,1,0.567,Pre-Seed,150707.47,False,False,-1,42,Active
SU-10010,SaaS,India,2020,4,0,0.317,Pre-Seed,417221.36,True,False,18,19,Failed
SU-10011,Fintech,US-WestCoast,2019,4,0,0.159,Seed,4159175.97,False,False,-1,42,Active
SU-10012,AI/ML,Europe,2022,3,0,0.223,Pre-Seed,173987.26,False,False,-1,42,Active
SU-10013,E-commerce,India,2014,4,0,0.61,Seed,1125221.35,False,False,-1,42,Active
SU-10014,AI/ML,US-EastCoast,2021,4,2,0.549,Series B,23983171.83,False,True,16,17,Acquired
SU-10015,Fintech,US-EastCoast,2018,4,1,0.809,Series A,7512811.9,True,False,22,23,Failed
SU-10016,DeepTech,Europe,2015,3,1,0.452,Pre-Seed,258053.17,False,False,-1,42,Active
SU-10017,SaaS,US-WestCoast,2020,4,1,0.649,Series B,21103027.7,False,False,-1,42,Active
SU-10018,ConsumerApps,Europe,2016,5,1,0.516,Series C+,115727718.33,False,True,5,6,Acquired
SU-10019,Fintech,SEA,2022,3,0,0.858,Seed,1246277.75,False,False,-1,42,Active
SU-10020,Fintech,US-Other,2017,4,0,0.064,Seed,1690474.99,True,False,32,33,Failed
