company_id,sector,region,founded_year,founder_count,founder_prior_exits,founder_technical_pct,initial_funding_stage,initial_capital,months_observed,failed,acquired,fail_month
SU-10000,SaaS,US-Other,2020,3,2,0.528,Seed,1969327.84,42,False,False,-1
SU-10001,DeepTech,SEA,2019,2,0,0.307,Seed,2301024.77,18,True,False,17
SU-10002,AI/ML,India,2022,2,0,0.675,Seed,2226888.7,42,False,False,-1
SU-10003,AI/ML,Europe,2015,3,1,0.374,Seed,1619319.69,16,True,False,15
SU-10004,HealthTech,US-WestCoast,2020,2,1,0.671,Seed,1362287.57,42,False,False,-1
SU-10005,HealthTech,India,2015,5,1,0.719,Seed,959805.03,42,False,False,-1
SU-10006,SaaS,US-WestCoast,2016,2,0,0.31,Series A,6345636.82,42,False,False,-1
SU-10007,E-commerce,US-WestCoast,2014,3,0,0.469,Seed,1458726.41,25,True,False,24
SU-10008,Marketplace,US-WestCoast,2017,1,1,0.646,Series A,10356061.4,42,False,False,-1
SU-10009,DeepTech,US-EastCoast,2018,1,1,0.567,Pre-Seed,150707.47,42,False,False,-1
SU-10010,SaaS,India,2020,4,0,0.317,Pre-Seed,417221.36,19,True,False,18
SU-10011,Fintech,US-WestCoast,2019,4,0,0.159,Seed,4159175.97,42,False,False,-1
SU-10012,AI/ML,Europe,2022,3,0,0.223,Pre-Seed,173987.26,42,False,False,-1
SU-10013,E-commerce,India,2014,4,0,0.61,Seed,1125221.35,42,False,False,-1
SU-10014,AI/ML,US-EastCoast,2021,4,2,0.549,Series B,23983171.83,17,False,True,16
SU-10015,Fintech,US-EastCoast,2018,4,1,0.809,Series A,7512811.9,23,True,False,22
SU-10016,DeepTech,Europe,2015,3,1,0.452,Pre-Seed,258053.17,42,False,False,-1
SU-10017,SaaS,US-WestCoast,2020,4,1,0.649,Series B,21103027.7,42,False,False,-1
SU-10018,ConsumerApps,Europe,2016,5,1,0.516,Series C+,115727718.33,6,False,True,5
SU-10019,Fintech,SEA,2022,3,0,0.858,Seed,1246277.75,42,False,False,-1
SU-10020,Fintech,US-Other,2017,4,0,0.064,Seed,1690474.99,33,True,False,32
SU-10021,Fintech,US-EastCoast,2021,3,0,0.521,Pre-Seed,205839.43,23,True,False,22
SU-10022,AI/ML,India,2019,3,1,0.368,Seed,1716884.66,42,False,False,-1
SU-10023,HealthTech,US-Other,2014,2,1,0.88,Series B,16949275.43,38,True,False,37
SU-10024,E-commerce,India,2021,3,0,0.967,Seed,1663731.56,25,True,False,24
SU-10025,SaaS,Europe,2015,2,0,0.657,Pre-Seed,394049.5,28,True,False,27
SU-10026,Marketplace,Europe,2022,4,1,0.588,Pre-Seed,328745.38,42,False,False,-1
SU-10027,EdTech,US-WestCoast,2021,2,1,0.639,Series A,13576922.73,16,True,False,15
SU-10028,AI/ML,India,2021,4,1,0.271,Seed,1538298.38,42,False,False,-1
SU-10029,ConsumerApps,Europe,2021,3,0,0.593,Series A,11627890.74,33,False,True,32
SU-10030,DeepTech,India,2022,2,0,0.308,Seed,2519283.54,26,True,False,25
SU-10031,Fintech,LatAm,2018,5,2,0.637,Seed,1277966.71,39,False,True,38
